"movie_name","movie_url","score","evalue_users","year","other"
"春光乍泄 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1292679/",8.7,197058,1997," 香港 / 日本 / 韩国 / 剧情 / 爱情 / 同性"
"借东西的小人阿莉埃蒂 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/4202302/",8.7,185591,2010," 日本 / 动画 / 奇幻 / 冒险"
"爱在黎明破晓前 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1296339/",8.7,182705,1995," 美国 / 奥地利 / 瑞士 / 剧情 / 爱情"
"头脑特工队 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/10533913/",8.7,178949,2015," 美国 / 喜剧 / 动画 / 冒险 / 家庭"
"猫鼠游戏 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1305487/",8.7,177195,2002," 美国 / 加拿大 / 传记 / 犯罪 / 剧情"
"萤火虫之墓 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293318/",8.7,176691,1988," 日本 / 动画 / 剧情 / 战争"
"爱在日落黄昏时 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1291990/",8.7,170037,2004," 美国 / 剧情 / 爱情"
"无敌破坏王 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/6534248/",8.7,160607,2012," 美国 / 喜剧 / 动画 / 冒险"
"恐怖直播 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/21360417/",8.7,158641,2013," 韩国 / 剧情 / 犯罪 / 悬疑"
"谍影重重3 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1578507/",8.7,152959,2007," 美国 / 德国 / 动作 / 悬疑 / 冒险"
"菊次郎的夏天 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293359/",8.7,147820,1999," 日本 / 剧情 / 喜剧"
"超脱 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/5322596/",8.7,142928,2011," 美国 / 剧情"
"末代皇帝 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1293172/",8.7,125836,1987," 意大利 / 中国大陆 / 英国 / 法国 / 剧情 / 传记 / 历史"
"英雄本色 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1297574/",8.7,120247,1986," 香港 / 动作 / 犯罪"
"纵横四海 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1295409/",8.7,115992,1991," 香港 / 剧情 / 喜剧 / 动作 / 犯罪"
"一次别离 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/5964718/",8.7,110423,2012," 伊朗 / 剧情 / 家庭"
"教父3 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1294240/",8.7,108201,1990," 美国 / 剧情 / 犯罪"
"喜宴 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/1303037/",8.7,107449,1993," 台湾 / 美国 / 剧情 / 喜剧 / 爱情 / 同性 / 家庭"
"浪潮 (豆瓣)","http://link.zhihu.com/?target=https%3A//movie.douban.com/subject/2297265/",8.7,106458,2008," 德国 / 剧情"
